Taotluse reg.kpv,Elamisloa liik,Rändeliik,Kodakondsus,Sugu,Vanuserühm
2015-01-09 00:20:59.152837,Tähtajaline elamisluba,Õppimine,Filipiinid,M, 35-39
2025-03-26 22:04:05.129361,Tähtajalise elamisloa pikendamine,Pereränne,Austraalia,M, 5-9
2022-12-13 17:16:58.929943,Tähtajalise elamisloa pikendamine,Pereränne,India,N, 0-4
2015-01-29 17:14:51.832448,Tähtajalise elamisloa pikendamine,Õppimine,India,M, 55-59
2024-10-12 12:12:12.168645,Tähtajaline elamisluba,Töötamine,Maroko,M, 20-24
2022-10-03 03:47:20.270768,Tähtajalise elamisloa pikendamine,Välisleping,Nepal,M, 55-59
2023-05-18 12:47:02.938021,Tähtajaline elamisluba,Õppimine,Nepal,M, 85+
2015-08-21 18:42:15.385481,Tähtajaline elamisluba,Välisleping,Malaisia,M, 0-4
2025-03-11 14:11:06.160878,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Maroko,M, 20-24
2025-05-01 18:35:53.399974,Tähtajalise elamisloa pikendamine,Pereränne,Hiina,M, 80-84
2020-01-12 02:27:09.028432,Tähtajaline elamisluba,Pereränne,Määratlemata kodakondsus,M, 40-44
2023-12-31 11:20:40.918505,Tähtajaline elamisluba,Ettevõtlus,Iisrael,N, 50-54
2025-02-27 12:17:34.112067,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Süüria,M, 45-49
2025-05-02 19:33:49.857498,Tähtajalise elamisloa pikendamine,Töötamine,Tšiili,N, 80-84
2019-03-22 02:36:17.330767,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Hiina,N, 60-64
2024-10-10 12:42:37.392375,Tähtajaline elamisluba,Pereränne,Ameerika Ühendriigid,N, 30-34
2019-06-09 15:46:06.945738,Tähtajalise elamisloa pikendamine,Õppimine,Ecuador,N, 20-24
2016-04-29 11:43:11.864204,Tähtajalise elamisloa pikendamine,Pereränne,Brasiilia,M, 50-54
2015-12-22 11:12:39.568144,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Türgi,N, 80-84
2021-06-15 17:01:34.246999,Tähtajaline elamisluba,Ettevõtlus,Venemaa,N, 40-44
2019-02-02 01:49:36.617159,Tähtajaline elamisluba,Legaalne sissetulek,Lõuna-Aafrika Vabariik,N, 50-54
2022-02-03 17:43:47.537370,Tähtajaline elamisluba,Välisleping,Venezuela,M, 5-9
2023-01-02 04:06:27.550126,Tähtajaline elamisluba,Töötamine,Ukraina,N, 40-44
2022-03-31 02:06:10.623402,Tähtajalise elamisloa pikendamine,Ettevõtlus,Suurbritannia,N, 80-84
2022-04-10 00:17:49.449802,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ukraina,M, 0-4
2022-03-03 06:58:55.286670,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Moldova,N, 60-64
2019-12-20 20:49:32.187755,Tähtajaline elamisluba,Ettevõtlus,Iraan,N, 20-24
2023-08-03 04:47:41.959636,Tähtajaline elamisluba,Ettevõtlus,Hiina,N, 5-9
2019-08-03 17:05:21.465395,Tähtajalise elamisloa pikendamine,Õppimine,Bangladesh,M, 35-39
2023-02-10 04:15:21.128319,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Sri Lanka,N, 20-24
2019-03-14 07:40:20.478917,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ameerika Ühendriigid,M, 80-84
2020-06-19 20:42:07.963344,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Albaania,M, 10-14
2015-04-01 08:45:19.353103,Tähtajalise elamisloa pikendamine,Välisleping,Nepal,M, 10-14
2015-03-16 11:49:58.574648,Tähtajaline elamisluba,Legaalne sissetulek,Valgevene,N, 20-24
2021-05-03 22:42:36.930309,Tähtajalise elamisloa pikendamine,Pereränne,Korea Vabariik,N, 15-19
2022-06-08 17:34:57.987413,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ameerika Ühendriigid,N, 15-19
2020-11-26 10:43:32.097367,Tähtajaline elamisluba,Välisleping,India,N, 50-54
2025-04-26 00:03:38.676181,Tähtajalise elamisloa pikendamine,Õppimine,Moldova,N, 25-29
2023-12-03 06:59:36.583139,Tähtajaline elamisluba,Pereränne,Kõrgõzstan,M, 40-44
2017-02-15 23:59:34.281245,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Pakistan,N, 65-69
2017-07-31 11:43:49.740153,Tähtajalise elamisloa pikendamine,Ettevõtlus,Tai,N, 80-84
2021-04-24 04:49:52.777486,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Brasiilia,N, 60-64
2021-07-26 15:03:16.640371,Tähtajaline elamisluba,Pereränne,Senegal,M, 35-39
2021-11-16 01:07:05.385142,Tähtajalise elamisloa pikendamine,Välisleping,Iraan,N, 65-69
2021-01-06 03:36:50.287792,Tähtajalise elamisloa pikendamine,Välisleping,Brasiilia,M, 40-44
2020-12-27 09:10:27.092698,Tähtajalise elamisloa pikendamine,Õppimine,Vietnam,M, 70-74
2022-09-18 05:10:31.072379,Tähtajalise elamisloa pikendamine,Töötamine,Iraan,M, 75-79
2015-10-23 08:47:46.073241,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Taiwan,M, 85+
2023-02-12 04:31:30.076979,Tähtajalise elamisloa pikendamine,Välisleping,Nepal,M, 35-39
2019-10-01 18:50:45.312051,Tähtajaline elamisluba,Välisleping,Venemaa,N, 65-69
2017-09-09 08:15:16.347446,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Süüria,M, 85+
2015-02-20 14:19:17.420766,Tähtajaline elamisluba,Õppimine,Pakistan,M, 50-54
2024-01-27 22:45:49.470936,Tähtajaline elamisluba,Õppimine,Kanada,N, 45-49
2022-02-20 01:09:13.976977,Tähtajaline elamisluba,Välisleping,Venezuela,M, 45-49
2024-07-18 19:44:26.609359,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Venezuela,M, 80-84
2018-06-18 10:23:15.638286,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Iisrael,N, 20-24
2017-04-06 15:03:10.878551,Tähtajaline elamisluba,Õppimine,Gambia,M, 40-44
2025-06-01 23:55:50.916477,Tähtajaline elamisluba,Ettevõtlus,Tai,M, 40-44
2025-05-23 07:47:56.054232,Tähtajalise elamisloa pikendamine,Töötamine,Egiptus,N, 5-9
2015-01-09 09:44:21.163603,Tähtajaline elamisluba,Õppimine,Süüria,M, 45-49
2015-01-12 19:51:55.412756,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Mehhiko,M, 80-84
2023-09-23 12:49:27.902187,Tähtajalise elamisloa pikendamine,Õppimine,Brasiilia,M, 30-34
2025-06-01 15:30:32.855696,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Lõuna-Aafrika Vabariik,N, 60-64
2024-10-26 16:15:36.403082,Tähtajalise elamisloa pikendamine,Pereränne,Singapur,M, 20-24
2016-06-09 01:05:55.389070,Tähtajalise elamisloa pikendamine,Õppimine,Nepal,M, 20-24
2025-06-01 03:06:09.313445,Tähtajalise elamisloa pikendamine,Välisleping,Maroko,M, 15-19
2024-03-13 13:09:37.585196,Tähtajaline elamisluba,Õppimine,Nepal,N, 0-4
2016-08-01 08:38:51.976271,Tähtajalise elamisloa pikendamine,Välisleping,Tadžikistan,N, 70-74
2025-05-27 07:36:18.414672,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Austraalia,M, 30-34
2024-03-06 13:19:01.681311,Tähtajalise elamisloa pikendamine,Töötamine,Iraan,N, 65-69
2019-03-13 10:57:56.444290,Tähtajalise elamisloa pikendamine,Ettevõtlus,Venezuela,N, 45-49
2022-07-14 05:37:45.161160,Tähtajaline elamisluba,Legaalne sissetulek,Iisrael,M, 60-64
2022-03-24 15:40:20.796810,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Afganistan,N, 45-49
2024-01-14 06:50:09.263013,Tähtajalise elamisloa pikendamine,Ettevõtlus,Libeeria,M, 35-39
2025-06-01 21:55:15.284077,Tähtajaline elamisluba,Töötamine,Colombia,M, 80-84
2025-06-01 23:50:08.664628,Tähtajaline elamisluba,Ettevõtlus,Vietnam,N, 40-44
2024-09-05 10:11:12.577558,Tähtajalise elamisloa pikendamine,Välisleping,Vietnam,M, 40-44
2017-06-12 10:22:52.065925,Tähtajaline elamisluba,Ettevõtlus,Korea Vabariik,N, 65-69
2016-12-27 03:06:15.241976,Tähtajalise elamisloa pikendamine,Töötamine,Gruusia,N, 15-19
2017-02-27 03:58:08.891598,Tähtajaline elamisluba,Pereränne,India,M, 30-34
2025-06-01 05:38:16.651461,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Lõuna-Aafrika Vabariik,N, 20-24
2021-04-13 18:01:12.007298,Tähtajalise elamisloa pikendamine,Õppimine,Afganistan,N, 60-64
2020-09-17 21:10:21.554241,Tähtajalise elamisloa pikendamine,Töötamine,Kasahstan,M, 50-54
2025-06-01 23:59:59.998123,Tähtajaline elamisluba,Õppimine,Kamerun,M, 80-84
2015-01-10 05:09:38.541196,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Määratlemata kodakondsus,M, 70-74
2018-10-26 22:52:51.652680,Tähtajalise elamisloa pikendamine,Töötamine,Moldova,N, 70-74
2023-03-15 19:49:25.807821,Tähtajaline elamisluba,Ettevõtlus,Sierra Leone,N, 30-34
2015-05-22 07:17:52.586451,Tähtajalise elamisloa pikendamine,Töötamine,Pakistan,M, 0-4
2025-06-01 23:59:57.472455,Tähtajaline elamisluba,Ettevõtlus,Venezuela,M, 45-49
2018-12-04 08:57:15.422569,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ukraina,M, 15-19
2021-11-02 23:59:10.571090,Tähtajaline elamisluba,Välisleping,Tai,M, 50-54
2023-06-29 05:58:26.015264,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Tadžikistan,N, 50-54
2018-12-02 21:20:13.337944,Tähtajaline elamisluba,Välisleping,Muu,N, 55-59
2016-04-23 16:34:53.607959,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,M, 85+
2016-08-15 19:04:13.658451,Tähtajalise elamisloa pikendamine,Õppimine,Usbekistan,N, 20-24
2024-03-09 16:48:35.084091,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Hiina,M, 30-34
2024-02-24 18:58:27.478510,Tähtajaline elamisluba,Õppimine,Vietnam,M, 60-64
2016-03-05 20:44:21.011883,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Muu,N, 45-49
2021-06-03 17:20:51.384150,Tähtajalise elamisloa pikendamine,Pereränne,Tuneesia,N, 55-59
2023-08-23 15:48:15.287561,Tähtajaline elamisluba,Töötamine,Armeenia,M, 40-44
2015-02-03 23:58:06.185122,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Nepal,M, 30-34
2024-02-13 23:00:05.990506,Tähtajalise elamisloa pikendamine,Töötamine,Pakistan,M, 40-44
2018-01-22 03:52:55.797961,Tähtajalise elamisloa pikendamine,Töötamine,Maroko,M, 55-59
2018-06-15 23:39:23.398788,Tähtajalise elamisloa pikendamine,Välisleping,Egiptus,N, 25-29
2020-03-03 00:10:56.321594,Tähtajalise elamisloa pikendamine,Välisleping,Taiwan,N, 80-84
2020-11-24 20:45:18.176253,Tähtajalise elamisloa pikendamine,Ettevõtlus,Nigeeria,N, 15-19
2015-12-19 07:47:38.785696,Tähtajaline elamisluba,Välisleping,Tadžikistan,M, 60-64
2017-07-25 22:44:21.335853,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Suurbritannia,N, 75-79
2022-06-15 23:31:49.690811,Tähtajalise elamisloa pikendamine,Välisleping,Moldova,N, 15-19
2025-05-30 03:28:48.275401,Tähtajaline elamisluba,Pereränne,Iisrael,M, 75-79
2024-01-23 08:15:05.965708,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Hiina,M, 0-4
2023-08-09 16:54:29.401139,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Lõuna-Aafrika Vabariik,M, 40-44
2025-05-21 20:12:15.425992,Tähtajalise elamisloa pikendamine,Pereränne,Indoneesia,N, 80-84
2024-05-12 13:10:59.891863,Tähtajalise elamisloa pikendamine,Pereränne,Tai,M, 70-74
2017-09-21 13:01:25.462333,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,M, 25-29
2021-04-08 20:36:39.649818,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,M, 60-64
2022-09-18 07:32:18.645546,Tähtajalise elamisloa pikendamine,Pereränne,Valgevene,M, 10-14
2019-03-31 20:02:16.148964,Tähtajalise elamisloa pikendamine,Pereränne,Kõrgõzstan,M, 20-24
2025-04-17 18:51:03.473230,Tähtajaline elamisluba,Legaalne sissetulek,Gambia,M, 15-19
2024-03-12 10:15:41.716939,Tähtajalise elamisloa pikendamine,Ettevõtlus,Kamerun,M, 50-54
2024-04-29 09:36:26.184893,Tähtajalise elamisloa pikendamine,Pereränne,Hiina,N, 0-4
2023-08-13 21:57:16.796799,Tähtajalise elamisloa pikendamine,Töötamine,Indoneesia,M, 35-39
2024-07-30 11:19:42.390232,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kanada,M, 55-59
2024-02-20 17:40:19.677122,Tähtajalise elamisloa pikendamine,Pereränne,Kanada,M, 15-19
2025-05-24 14:48:30.272508,Tähtajalise elamisloa pikendamine,Pereränne,Brasiilia,N, 40-44
2023-03-15 15:28:34.045097,Tähtajaline elamisluba,Töötamine,Lõuna-Aafrika Vabariik,M, 0-4
2018-08-27 21:59:23.891054,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Singapur,M, 80-84
2024-03-09 11:46:10.602112,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Singapur,N, 50-54
2021-03-28 15:41:52.023753,Tähtajaline elamisluba,Pereränne,Kamerun,N, 0-4
2021-06-27 06:29:24.172201,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ukraina,M, 65-69
2018-04-21 16:04:34.258769,Tähtajaline elamisluba,Pereränne,Kasahstan,N, 35-39
2015-05-15 11:35:24.449004,Tähtajaline elamisluba,Välisleping,Colombia,N, 50-54
2025-05-24 04:27:15.398354,Tähtajalise elamisloa pikendamine,Ettevõtlus,Indoneesia,M, 40-44
2023-09-10 12:37:11.434924,Tähtajalise elamisloa pikendamine,Töötamine,Nigeeria,N, 60-64
2018-06-15 09:30:28.066052,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Kanada,M, 70-74
2024-03-23 22:15:46.015643,Tähtajalise elamisloa pikendamine,Töötamine,Venemaa,N, 75-79
2015-10-19 17:30:38.289680,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ameerika Ühendriigid,M, 35-39
2015-02-20 18:38:55.834208,Tähtajaline elamisluba,Õppimine,Taiwan,M, 85+
2023-11-13 03:59:11.530823,Tähtajalise elamisloa pikendamine,Pereränne,Singapur,M, 35-39
2023-02-24 17:25:35.493924,Tähtajalise elamisloa pikendamine,Õppimine,Sri Lanka,M, 70-74
2015-09-07 13:28:42.560347,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Argentina,M, 70-74
2023-01-12 10:07:52.027120,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ukraina,N, 45-49
2016-01-23 14:10:58.478542,Tähtajaline elamisluba,Legaalne sissetulek,Egiptus,M, 85+
2023-04-12 20:07:13.393777,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,N, 40-44
2015-01-11 07:58:21.311787,Tähtajalise elamisloa pikendamine,Ettevõtlus,Filipiinid,M, 0-4
2022-11-08 15:43:57.594977,Tähtajaline elamisluba,Töötamine,Tadžikistan,M, 85+
2015-01-09 00:37:58.844952,Tähtajalise elamisloa pikendamine,Pereränne,Venezuela,N, 80-84
2015-03-03 01:20:08.788975,Tähtajalise elamisloa pikendamine,Ettevõtlus,Colombia,N, 45-49
2022-10-24 17:53:58.317586,Tähtajalise elamisloa pikendamine,Välisleping,Armeenia,M, 10-14
2015-01-12 04:19:38.828225,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Moldova,N, 15-19
2018-12-17 03:42:11.466991,Tähtajaline elamisluba,Pereränne,Colombia,M, 40-44
2017-07-26 01:42:38.729987,Tähtajaline elamisluba,Ettevõtlus,Palestiina okupeeritud ala,N, 30-34
2019-02-20 04:46:47.969421,Tähtajalise elamisloa pikendamine,Õppimine,Süüria,N, 60-64
2017-02-24 23:23:39.456298,Tähtajaline elamisluba,Välisleping,Valgevene,N, 35-39
2025-06-01 23:59:59.932695,Tähtajaline elamisluba,Ettevõtlus,Kõrgõzstan,N, 70-74
2020-09-13 10:05:20.460574,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Singapur,M, 5-9
2024-06-07 07:20:14.458577,Tähtajalise elamisloa pikendamine,Õppimine,Hiina,N, 0-4
2022-09-04 15:42:21.821719,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Aserbaidžaan,N, 50-54
2025-02-23 19:03:53.295559,Tähtajalise elamisloa pikendamine,Töötamine,Türgi,N, 65-69
2021-10-29 08:49:50.018176,Tähtajaline elamisluba,Legaalne sissetulek,Türgi,N, 60-64
2015-09-12 19:01:55.026735,Tähtajaline elamisluba,Ettevõtlus,Tšiili,N, 40-44
2023-03-15 01:06:48.727680,Tähtajaline elamisluba,Välisleping,Mehhiko,M, 75-79
2023-02-14 12:23:39.149175,Tähtajalise elamisloa pikendamine,Pereränne,Iraan,M, 30-34
2016-07-02 07:20:42.705990,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Suurbritannia,N, 15-19
2022-11-10 13:01:10.077905,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Maroko,N, 50-54
2018-12-07 10:58:03.462904,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Sierra Leone,M, 55-59
2015-01-09 00:00:00.000000,Tähtajalise elamisloa pikendamine,Töötamine,Kanada,N, 5-9
2023-05-02 02:49:04.877814,Tähtajalise elamisloa pikendamine,Töötamine,Korea Vabariik,M, 40-44
2025-06-01 19:08:59.985618,Tähtajaline elamisluba,Õppimine,Kanada,M, 40-44
2017-09-29 10:43:50.877874,Tähtajaline elamisluba,Pereränne,Türgi,N, 55-59
2020-04-17 00:23:35.349142,Tähtajalise elamisloa pikendamine,Pereränne,Egiptus,M, 85+
2020-03-29 10:00:51.089285,Tähtajalise elamisloa pikendamine,Pereränne,Iisrael,N, 40-44
2019-10-05 16:48:27.549685,Tähtajaline elamisluba,Õppimine,Taiwan,M, 50-54
2019-02-17 05:25:50.327702,Tähtajaline elamisluba,Ettevõtlus,Aserbaidžaan,N, 5-9
2025-05-19 07:44:43.336932,Tähtajaline elamisluba,Ettevõtlus,Tuneesia,M, 5-9
2021-08-24 21:22:44.054763,Tähtajaline elamisluba,Legaalne sissetulek,Venemaa,N, 25-29
2018-01-21 06:42:30.708692,Tähtajaline elamisluba,Ettevõtlus,Pakistan,M, 85+
2023-05-16 06:47:35.383570,Tähtajaline elamisluba,Õppimine,Venemaa,N, 20-24
2025-05-26 19:59:03.357090,Tähtajalise elamisloa pikendamine,Õppimine,Iisrael,N, 65-69
2022-05-11 19:05:49.407284,Tähtajalise elamisloa pikendamine,Välisleping,Usbekistan,N, 0-4
2023-04-04 06:47:45.274491,Tähtajalise elamisloa pikendamine,Pereränne,Suurbritannia,N, 55-59
2022-03-14 16:45:43.152613,Tähtajalise elamisloa pikendamine,Välisleping,Gruusia,N, 75-79
2015-10-22 23:09:59.518382,Tähtajaline elamisluba,Pereränne,Austraalia,N, 15-19
2020-12-02 02:08:38.300002,Tähtajalise elamisloa pikendamine,Välisleping,Ukraina,M, 0-4
2016-06-09 22:28:33.391623,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Argentina,N, 45-49
2025-03-16 17:28:54.948490,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Venemaa,N, 85+
2015-05-31 03:24:41.146305,Tähtajalise elamisloa pikendamine,Õppimine,Indoneesia,M, 10-14
2017-05-21 05:15:04.929870,Tähtajalise elamisloa pikendamine,Välisleping,Afganistan,M, 40-44
2016-09-04 06:10:50.434111,Tähtajaline elamisluba,Õppimine,Vietnam,N, 55-59
2020-04-26 08:05:49.418114,Tähtajaline elamisluba,Pereränne,India,N, 65-69
2023-08-29 01:37:26.832745,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kõrgõzstan,M, 20-24
2023-09-09 08:44:15.336899,Tähtajaline elamisluba,Legaalne sissetulek,Ameerika Ühendriigid,M, 35-39
2022-11-13 13:58:27.135626,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Armeenia,M, 80-84
2015-01-09 00:03:37.860605,Tähtajalise elamisloa pikendamine,Ettevõtlus,Tšiili,N, 50-54
2021-05-29 01:31:51.324899,Tähtajaline elamisluba,Pereränne,Libeeria,M, 30-34
2021-05-30 16:07:55.085576,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Venezuela,N, 30-34
2021-03-03 10:40:26.644839,Tähtajaline elamisluba,Õppimine,Sierra Leone,N, 80-84
2018-11-08 15:42:27.087025,Tähtajaline elamisluba,Õppimine,Brasiilia,M, 5-9
2015-01-09 00:00:00.000000,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Taiwan,M, 40-44
2018-04-14 01:28:58.489858,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,India,M, 80-84
2018-08-11 02:00:33.765927,Tähtajaline elamisluba,Legaalne sissetulek,Palestiina okupeeritud ala,M, 50-54
2015-10-05 18:52:36.524794,Tähtajalise elamisloa pikendamine,Välisleping,Vietnam,N, 80-84
2025-03-08 23:21:34.030344,Tähtajaline elamisluba,Õppimine,Maroko,N, 65-69
2015-01-28 03:52:18.419081,Tähtajaline elamisluba,Õppimine,Bangladesh,M, 0-4
2019-01-25 23:42:56.075048,Tähtajaline elamisluba,Ettevõtlus,Ukraina,M, 75-79
2022-09-22 23:29:26.482420,Tähtajalise elamisloa pikendamine,Töötamine,Libeeria,M, 45-49
2020-04-02 21:44:02.147835,Tähtajaline elamisluba,Õppimine,Kanada,N, 25-29
2018-03-17 20:55:13.162359,Tähtajaline elamisluba,Ettevõtlus,Nepal,M, 40-44
2024-11-18 15:28:26.563854,Tähtajaline elamisluba,Legaalne sissetulek,Colombia,M, 20-24
2022-12-09 05:49:47.867240,Tähtajaline elamisluba,Ettevõtlus,Türgi,M, 80-84
2021-04-11 04:30:23.834286,Tähtajalise elamisloa pikendamine,Ettevõtlus,India,M, 20-24
2018-02-23 21:27:18.894938,Tähtajalise elamisloa pikendamine,Töötamine,Mehhiko,M, 25-29
2021-07-19 12:10:39.838920,Tähtajalise elamisloa pikendamine,Ettevõtlus,Brasiilia,M, 0-4
2016-09-10 04:58:43.581779,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Bangladesh,M, 20-24
