id,name,value
1,Olga,10335
2,Irina,10164
3,Jelena,10000
4,Svetlana,9929
5,Tatjana,9807
6,Anna,8872
7,Valentina,7576
8,Galina,7505
9,Natalja,7227
10,Maria,6890
11,Marina,5809
12,Katrin,5283
12,Tiina,5283
14,Sirje,4885
15,Anne,4838
16,Jekaterina,4527
17,Natalia,4492
18,Julia,4389
19,Kristina,4271
20,Ülle,4230
21,Tiiu,4053
22,Ene,3863
23,Diana,3626
24,Viktoria,3523
25,Piret,3461
26,Nadežda,3429
27,Anneli,3396
28,Aleksandra,3386
29,Riina,3330
30,Laura,3307
31,Kadri,3255
32,Tamara,3232
33,Kristi,3225
34,Ljudmila,3165
35,Merike,3150
36,Niina,3137
37,Anu,3127
38,Marika,3098
39,Maie,3060
40,Elena,2954
41,Eve,2951
42,Tatiana,2948
43,Mare,2906
44,Oksana,2900
45,Kristiina,2861
46,Triin,2811
47,Annika,2736
48,Reet,2710
49,Malle,2697
50,Jana,2695
51,Karin,2665
52,Kersti,2658
53,Merle,2629
54,Alina,2614
55,Liina,2589
56,Veronika,2549
57,Ljubov,2546
58,Pille,2497
59,Sofia,2489
60,Helen,2481
61,Sandra,2461
62,Kristel,2405
63,Inna,2357
64,Liis,2347
65,Larissa,2325
66,Margit,2323
67,Kaja,2252
68,Heli,2226
69,Ljudmilla,2205
70,Urve,2186
71,Alla,2183
72,Tiia,2133
73,Eha,2096
74,Veera,2087
75,Lea,2084
76,Linda,2072
76,Maire,2072
78,Nina,2065
79,Anastassia,2055
80,Külli,2016
81,Aino,2014
82,Helle,1997
83,Eva,1994
84,Polina,1949
85,Ingrid,1939
86,Anastasia,1937
87,Liudmila,1918
88,Mari,1868
89,Margarita,1866
90,Darja,1858
90,Kätlin,1858
92,Maarja,1851
93,Aili,1847
94,Krista,1787
95,Milvi,1751
96,Maris,1733
97,Hanna,1722
98,Karina,1720
99,Monika,1713
100,Kadi,1685
