id,name,value
1,Tamm,2731
2,Ivanova,2664
3,Saar,2305
4,Mägi,1921
5,Sepp,1835
6,Kask,1480
7,Smirnova,1378
8,Kukk,1273
9,Ilves,1162
10,Rebane,1133
11,Petrova,1116
12,Pärn,1030
13,Kuznetsova,1005
14,Vassiljeva,995
15,Koppel,985
16,Oja,974
17,Luik,971
18,Kaasik,957
19,Kuusk,949
20,Lepik,903
21,Raudsepp,898
22,Karu,892
23,Vaher,835
24,Kivi,817
25,Pavlova,802
26,Kallas,801
27,Kütt,796
27,Lepp,796
29,Põder,783
30,Laur,759
31,Mets,738
32,Lõhmus,733
33,Kuusik,721
34,Liiv,719
35,Volkova,717
36,Peterson,696
37,Jõgi,695
38,Teder,694
39,Popova,691
40,Kangur,685
41,Fjodorova,670
42,Stepanova,669
43,Mihhailova,661
44,Mölder,646
45,Ots,644
46,Kõiv,637
47,Leppik,627
48,Toom,622
49,Kull,619
50,Puusepp,608
51,Sokolova,607
52,Jakobson,590
53,Raud,589
54,Morozova,586
55,Rand,580
56,Jakovleva,576
57,Aleksejeva,560
58,Paju,553
59,Sild,540
60,Andrejeva,538
61,Järv,533
62,Nikitina,532
63,Nõmm,523
63,Saks,523
65,Semjonova,522
66,Johanson,520
66,Laas,520
68,Mitt,518
69,Sarapuu,511
70,Lebedeva,509
71,Roos,508
72,Orlova,504
73,Jürgenson,503
74,Kozlova,501
75,Põld,499
76,Tomson,495
77,Allik,491
77,Orav,491
79,Kalda,488
79,Männik,488
79,Uibo,488
82,Nikolajeva,487
82,Tamme,487
84,Makarova,482
85,Palm,481
86,Grigorjeva,480
87,Aas,464
88,Aleksandrova,462
88,Mänd,462
90,Romanova,461
91,Järve,459
92,Hunt,458
93,Bogdanova,453
93,Parts,453
95,Paas,446
96,Kruus,445
97,Hein,443
98,Kuzmina,440
99,Adamson,437
100,Pukk,436
