id,name,value
1,Ivanov,2536
2,Tamm,2456
3,Saar,2155
4,Sepp,1741
5,Mägi,1717
6,Kask,1365
7,Smirnov,1298
8,Kukk,1273
9,Petrov,1128
10,Ilves,1089
11,Rebane,1038
12,Pärn,982
13,Vassiljev,962
14,Kuznetsov,921
15,Koppel,913
16,Oja,906
17,Luik,881
18,Kaasik,880
18,Kuusk,880
20,Raudsepp,859
21,Lepik,826
22,Karu,810
23,Põder,766
24,Kütt,765
24,Lepp,765
26,Vaher,762
27,Pavlov,744
28,Kallas,716
29,Kivi,704
30,Mets,696
31,Kangur,685
31,Popov,685
33,Lõhmus,654
34,Stepanov,653
35,Liiv,649
36,Laur,637
37,Kuusik,634
38,Volkov,627
39,Mihhailov,626
40,Teder,620
41,Fjodorov,618
42,Jõgi,607
43,Peterson,600
44,Toom,582
45,Ots,580
46,Kõiv,575
47,Mölder,573
48,Leppik,572
49,Puusepp,558
50,Sokolov,557
51,Raud,545
52,Morozov,539
53,Semjonov,532
54,Sild,527
55,Aleksejev,525
56,Jakobson,522
57,Lebedev,519
58,Kull,511
59,Rand,509
60,Andrejev,506
61,Kozlov,504
62,Mitt,503
63,Paju,485
64,Jakovlev,481
65,Sarapuu,480
66,Jürgenson,476
67,Allik,474
68,Grigorjev,472
69,Nõmm,470
70,Nikolajev,469
71,Orlov,467
72,Nikitin,461
72,Orav,461
72,Põld,461
75,Tomson,458
76,Kuzmin,454
77,Uibo,453
78,Jegorov,450
79,Laas,449
79,Saks,449
81,Järv,448
81,Pukk,448
83,Männik,440
84,Aas,438
85,Johanson,435
86,Novikov,434
87,Tamme,429
88,Kalda,425
89,Bogdanov,422
90,Romanov,415
90,Valk,415
92,Roos,413
93,Paas,412
94,Aleksandrov,410
94,Palm,410
96,Mõttus,405
97,Mänd,401
98,Hein,392
98,Hunt,392
100,Väli,391
